TERM 	 NUMDOC 	 START
clair	1	122327
stark	3	122330
stephenson	2	122332
tazewell	1	122333
vermilion	1	122334
wabash	1	122335
warren	29	122364
washington	71	122435
wayne	6	122441
whiteside	1	122442
williamson	2	122444
winnebago	1	122445
woodford	1	122446
money	14	122460
orders	9	122469
urrey	1	122470
metro	5	122475
savings	11	122486
offers	44	122530
canadian	17	122547
funds	12	122559
these	425	122984
acceptable	13	122997
only	275	123272
canada	41	123313
prepaid	2	123315
purchase	27	123342
cashable	2	123344
upon	49	123393
receipt	2	123395
purchaser	3	123398
responsible	45	123443
delivering	4	123447
recipient	3	123450
small	92	123542
charge	14	123556
buy	18	123574
waived	3	123577
surrey	6	123583
prestige	4	123587
chequing	3	123590
account	72	123662
holders	5	123667
onsider	5	123672
need	192	123864
pay	20	123884
dealer	4	123888
would	135	124023
standard	97	124120
bank	6	124126
cheque	3	124129
cash	9	124138
want	119	124257
send	259	124516
friend	9	124525
worried	2	124527
sending	20	124547
travelers	3	124550
cheques	3	124553
reg	3	124556
foreign	14	124570
currency	3	124573
drafts	5	124578
accounts	30	124608
alt	157	124765
setember	1	124766
imagemap	3	124769
client	49	124818
did	25	124843
coordinates	13	124856
doesn	19	124875
accessed	36	124911
presidential	8	124919
scholars	14	124933
possible	115	125048
colleagues	13	125061
english	29	125090
lucia	2	125092
getsi	1	125093
ron	7	125100
strickland	1	125101
sally	4	125105
parry	1	125106
william	42	125148
margaret	6	125154
steffensen	1	125155
remember	31	125186
starting	44	125230
professors	28	125258
colleague	4	125262
plans	41	125303
limited	66	125369
names	42	125411
return	104	125515
department	555	126070
listing	38	126108
ps	32	126140
awards	16	126156
ids	7	126163
core	60	126223
curriculum	28	126251
study	202	126453
abroad	7	126460
club	15	126475
honors	21	126496
isu	7	126503
srl	5	126508
oetztal	1	126509
austria	3	126512
elevation	3	126515
model	152	126667
geometrically	2	126669
coded	8	126677
directly	44	126721
onto	22	126743
seasonal	4	126747
supersite	1	126748
centered	14	126762
degrees	30	126792
north	45	126837
latitude	5	126842
east	19	126861
longitude	3	126864
central	58	126922
alps	1	126923
switzerland	4	126927
italy	13	126940
kilometers	5	126945
miles	9	126954
southwest	3	126957
innsbruck	1	126958
acquired	8	126966
spaceborne	5	126971
synthetic	8	126979
aperture	5	126984
aboard	4	126988
shuttle	14	127002
endeavour	5	127007
produced	34	127041
combining	17	127058
two	277	127335
different	141	127476
sets	107	127583
obtained	35	127618
green	15	127633
appears	19	127652
